ID,Taxonomy,End Node,Data Source Status,MFR HTML1,MFR HTML2,PT MFR Sourced PDF1,PT MFR Sourced PDF_Page No,PT MFR Sourced PDF2,PT MFR Sourced PDF_Page No,Sherwin Automotive: http://pbe.sherwin-automotive.com/ (automotive SKUs),Distributor Source: Grainger- https://www.grainger.com/,Distributor Source: Home Depot- http://www.homedepot.com/,Distributor Source: Lowes- http://www.lowes.com/,MPN Number,Brand,Manufacturer,UPC,Product Name,Att 1,Val 1,UOM 1,Att 2,Val 2,UOM 2,Att 3,Val 3,UOM 3,Att 4,Val 4,UOM 4,Att 5,Val 5,UOM 5,Att 6,Val 6,UOM 6,Att 7,Val 7,UOM 7,Att 8,Val 8,UOM 8,Att 9,Val 9,UOM 9,Att 10,Val 10,UOM 10,Att 11,Val 11,UOM 11,Att 12,Val 12,UOM 12,Att 13,Val 13,UOM 13,Att 14,Val 14,UOM 14,Att 15,Val 15,UOM 15,Att 16,Val 16,UOM 16,Att 17,Val 17,UOM 17,Att 18,Val 18,UOM 18,Att 19,Val 19,UOM 19,Att 20,Val 20,UOM 20,Att 21,Val 21,UOM 21,Att 22,Val 22,UOM 22,Att 23,Val 23,UOM 23,Att 24,Val 24,UOM 24,Att 25,Val 25,UOM 25,Att 26,Val 26,UOM 26,Att 27,Val 27,UOM 27,Att 28,Val 28,UOM 28,Att 29,Val 29,UOM 29,Att 30,Val 30,UOM 30,Allotted To,Overall Status
004870440,"Equipment & Supplies>Spray Equipment, Curing Ovens & Accessories>Sprayer Replacement Parts & Accessories>Sprayer Pneumatic & Mechanical Parts>Sprayer Agitators",Sprayer Agitators,Found,,,http://www.graco.com/content/dam/graco/ipd/literature/flyers/345020/345020EN-D.pdf,19,http://www.graco.com/content/dam/graco/tech_documents/manuals/306/306565/306565EN-H.pdf,1,,,,,224571,,GRACO®,633955165557,Agitator Assembly,Contents,(2) SST 1/420 x 1/4 Inch SCHD Set Screw;Valve Needle;Nitrile Rubber O-Ring;Valve Body;Nylon Washer;Adjustment Knob;Packing Nut;SST 3/8 Inch Spring Lock Washer;SST 3/8 Inch-16 NPT Hex Cap Nut;SST Pin;Air Motor;Allen Wrench;SST Drive Shaft Coupling;SST Agiator Blade;Exhaust Muffler;SST Agiator Shaft,,Pack Size,1,per Pack,Calculated Size (Length x Width x Height),13.25 (Length),Inch,Compatible Container Size,5,Gallon,Recommended Uses,Pail,,Maximum Fluid Pressure (PSI),100,PSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muruganathan CA,Completed
005898648,Equipment & Supplies>Work Tools>Power Tools>Dent Removal Machines & Accessories,Dent Removal Machines & Accessories,Found,http://www.dentfix.com/#!shop-1/mw12b/!/The-Maxi-110v/p/65881327,,,,,,,,,,505,,DENT FIX EQUIPMENT,,Multiple Pull Dent Station,Product Width,10,Inch,Product Weight,67.5,Lb,Contents,"Two Light Pulling Rods;Two Slide Hammer Rods With Strike Weight;Stud Pin Electrode;Shrinking Electrode;Wiggle Wire Weld Tip;Nine and Four Finger ""Bear Claw"";50 Stud Weld Pins;1 Pound of Wiggle Wire;21 Feet of Power Cable;Nine Feet of Welding Cable",,Drive Type,Electrical,,Product Length,20,Inch,Product Height,14,Inch,Accessory Type,Multiple Pull Dent Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seenivasan K,Completed
005959002,"Equipment & Supplies>Spray Equipment, Curing Ovens & Accessories>Sprayer Replacement Parts & Accessories>Sprayer Pneumatic & Mechanical Parts>zzSprayerNoHome",zzSprayerNoHome,Found,http://www.graco.com/in/en/products/finishing/expanding-blade-agitator.html,,http://www.graco.com/content/dam/graco/tech_documents/manuals/313/313643/313643EN-G.pdf,1,,,,,,,24C729,,GRACO®,633955556409,Expanding Blade Mixer,Product Width,,,Connector Type,2 Inch & 1-1/2 Inch Bung Adapter,,Product Depth,,,Compatible Sprayer Type,,,Product Weight,13.1,Lb,CFM @ PSI,22,SCFM,Capacity Volume,,,Sprayer Tip Size,,,Contents,Angle Adapter,,Product Material,Stainless Steel,,Capacity Weight,,,Pack Size,1,Each,Product Length,,,Pressure Washer Nozzle Size,,,Color Family,,,Product Height,,,Maximum Temperature Rating,,,Compatible Container Size,,,Handle Diameter,,,Pressure Washer Nozzle Degree,,,Handle Length,,,Recommended Uses,Paints;Coating,,Thickness,,,Product Diameter,,,Compatible Materials,,,Number Of Guns,,,Handle Style,,,Maximum Fluid Pressure (PSI),100,PSI,,,,,,,Vaishali S,Completed
007269293,"Equipment & Supplies>Work Tools>Knives, Scrapers & Replacement Blades>Scraper Replacement Blades",Scraper Replacement Blades,Found,http://www.warnertool.com/searchresult.php?sch=793&x=0&y=0,,http://www.warnertool.com/Catalog%5C2013WMCCatalog.pdf?GSBYPASS=1929F72C1CFED82045E72E05AE97FE38&N=a5QSiQ&M=application/pdf&D=,15,,,,,,,793,CLEAN™,WARNER® TOOL PRODUCTS,048661007938,Replacement Blade,Blade Width,4,Inch,Pack Size,5,per Pack,Blade Shape,Square,,Blade Length,4,Inch,Blade Material,Blue Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seenivasan K,Completed
008847121,Equipment & Supplies>Material Handling>Utility Carts,Utility Carts,Found,http://www.astrotools.com/index.php/heavy-duty-plastic-2-shelf-utility-cart-black-color.html,,http://www.astrotools.com/pdf_info/8330.pdf,1,,,,,,,8330,,Astro Pneumatic®,745227001194,Two Shelf Utility Cart,Product Width,16,Inch,Contents,Two Handle,,Product Material,Plastic,,Product Length,30,Inch,Color Family,Black,,Product Height,31,Inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vignesh A,Completed
008952020,"Equipment & Supplies>Spray Equipment, Curing Ovens & Accessories>Sprayer Replacement Parts & Accessories>Sprayer Pneumatic & Mechanical Parts>zzSprayerNoHome",zzSprayerNoHome,Found,"http://www.prevostusa.com/REGULAR-QUICK-COUPLING-HIGH-FLOW-INTERCHANGE-/Tapered-female-thread-coupler,us,c-c351-epc1000003.html",,,,,,,,,,ERC 071201,,PREVOST,,Regular Quick Coupler,Product Width,,,Connector Type,1/4 Inch NPT Female,,Product Depth,,,Compatible Sprayer Type,,,Product Weight,,,CFM @ PSI,35,SCFM,Capacity Volume,2.8,Ounce,Sprayer Tip Size,,,Contents,,,Product Material,,,Capacity Weight,,,Pack Size,1,Each,Product Length,71.5,mm,Pressure Washer Nozzle Size,,,Color Family,Blue (Body)/Green (Button),,Product Height,,,Maximum Temperature Rating,+158,°F,Compatible Container Size,,,Handle Diameter,,,Pressure Washer Nozzle Degree,,,Handle Length,,,Recommended Uses,Air for Spray Painting,,Thickness,,,Product Diameter,28,mm,Compatible Materials,,,Number Of Guns,,,Handle Style,,,Maximum Fluid Pressure (PSI),174,PSI,,,,,,,Vaishali S,Completed
008952210,"Equipment & Supplies>Spray Equipment, Curing Ovens & Accessories>Sprayer Replacement Parts & Accessories>Sprayer Pneumatic & Mechanical Parts>zzSprayerNoHome",zzSprayerNoHome,Found,"http://www.prevostusa.com/REGULAR-QUICK-COUPLING-1-4-AUTOMOTIVE-INTERCHANGE/Tapered-female-thread-coupler,us,c-c1062-epc1000003.html",,,,,,,,,,URC 061201,,PREVOST,,Regular Coupler,Product Width,,,Connector Type,1/4 Inch NPT,,Product Depth,,,Compatible Sprayer Type,,,Product Weight,1.75,Ounce,CFM @ PSI,30.3,SCFM,Capacity Volume,,,Sprayer Tip Size,,,Contents,,,Product Material,,,Capacity Weight,,,Pack Size,1,Each,Product Length,,,Pressure Washer Nozzle Size,,,Color Family,Blue (Body)/Red (Button),,Product Height,,,Maximum Temperature Rating,+158,°F,Compatible Container Size,,,Handle Diameter,,,Pressure Washer Nozzle Degree,,,Handle Length,,,Recommended Uses,Air for Spray Painting,,Thickness,,,Product Diameter,,,Compatible Materials,,,Number Of Guns,,,Handle Style,,,Maximum Fluid Pressure (PSI),175,PSI,,,,,,,Vaishali S,Completed
008952236,"Equipment & Supplies>Spray Equipment, Curing Ovens & Accessories>Sprayer Replacement Parts & Accessories>Sprayer Pneumatic & Mechanical Parts>zzSprayerNoHome",zzSprayerNoHome,Found,"http://www.prevostusa.com/REGULAR-QUICK-COUPLING-1-4-AUTOMOTIVE-INTERCHANGE/Tapered-male-thread-coupler,us,c-c1063-epc1000003.html",,,,,,,,,,URC 061251,,PREVOST,,Regular Coupler,Product Width,,,Connector Type,1/4 Inch NPT,,Product Depth,,,Compatible Sprayer Type,,,Product Weight,1.75,Ounce,CFM @ PSI,30.3,SCFM,Capacity Volume,,,Sprayer Tip Size,,,Contents,,,Product Material,,,Capacity Weight,,,Pack Size,1,Each,Product Length,,,Pressure Washer Nozzle Size,,,Color Family,Blue (Body)/Red (Button),,Product Height,,,Maximum Temperature Rating,+158,°F,Compatible Container Size,,,Handle Diameter,,,Pressure Washer Nozzle Degree,,,Handle Length,,,Recommended Uses,Air for Spray Painting,,Thickness,,,Product Diameter,,,Compatible Materials,,,Number Of Guns,,,Handle Style,,,Maximum Fluid Pressure (PSI),175,PSI,,,,,,,Vaishali S,Completed
009270711,Equipment & Supplies>Work Tools>Power Tools>Dent Removal Machines & Accessories,Dent Removal Machines & Accessories,Found,http://www.dentfix.com/#!shop-1/mw12b/!/The-Maxi-110v/p/65881327,,,,,,,,,,505/110,,DENT FIX EQUIPMENT,,Maxi Dent Removal System,Product Width,10,Inch,Product Weight,67.5,Lb,Contents,"Two Light Pulling Rods;Two Slide Hammer Rods With Strike Weight;Stud Pin Electrode;Shrinking Electrode;Wiggle Wire Weld Tip;Nine and Four Finger ""Bear Claw"";50 Stud Weld Pins;1 Pound of Wiggle Wire;21 Feet of Power Cable;Nine Feet of Welding Cable",,Drive Type,Electrical,,Product Length,20,Inch,Product Height,14,Inch,Accessory Type,Multiple Pull Dent Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seenivasan K,Completed
009474636,"Equipment & Supplies>Spray Equipment, Curing Ovens & Accessories>Sprayer Replacement Parts & Accessories>Sprayer Pneumatic & Mechanical Parts>zzSprayerNoHome",zzSprayerNoHome,Found,,,http://www.graco.com/content/dam/graco/tech_documents/manuals/3A1/3A1698/3A1698EN-H.pdf,21,,,,,,,24J421,,GRACO®,633955136298,Bare Sprayer,Product Width,5.5,Inch,Connector Type,,,Product Depth,,,Compatible Sprayer Type,,,Product Weight,5.06,Lb,CFM @ PSI,,,Capacity Volume,,,Sprayer Tip Size,,,Contents,,,Product Material,,,Capacity Weight,,,Pack Size,1,Each,Product Length,13.75,Inch,Pressure Washer Nozzle Size,,,Color Family,,,Product Height,9.7,Inch,Maximum Temperature Rating,+90,°F,Compatible Container Size,,,Handle Diameter,,,Pressure Washer Nozzle Degree,,,Handle Length,,,Recommended Uses,Portable Spray Applications of Architectural Paints and Coatings,,Thickness,,,Product Diameter,,,Compatible Materials,,,Number Of Guns,,,Handle Style,,,Maximum Fluid Pressure (PSI),1700,PSI,,,,,,,Vaishali S,Completed
